marca,modelo,ano,km,cambio,preco,status
HYUNDAI,HB20 SENSE 1.0,"2022/2023
","52.974 km
",MANUAL,R$ 62.990,disponivel
FIAT,ARGO DRIVE 1.0,"2022/2023
","52.296 km
",MANUAL,R$ 66.490,disponivel
FIAT,ARGO 1.0,"2022/2023
","34.714 km
",MANUAL,R$ 65.190,disponivel
FIAT,MOBI LIKE 1.0,"2022/2023
","52.762 km
",MANUAL,R$ 52.990,disponivel
FIAT,MOBI LIKE 1.0 4P,"2022/2023
","60.925 km
",MANUAL,R$ 54.290,disponivel
TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
","25.918 km
",AUTOMÁTICO,R$ 155.190,disponivel
RENAULT,LOGAN ZEN 1.0,"2022/2023
","48.120 km
",MANUAL,R$ 64.390,disponivel
VOLKSWAGEN,VOYAGE 1.0,"2022/2023
","22.111 km
",MANUAL,R$ 62.990,disponivel
FIAT,UNO ATTRACTIVE EVO 1.0 4P,"2020/2020
","95.633 km
",MANUAL,R$ 47.990,disponivel
RENAULT,KWID ZEN 1.0 4P,"2022/2023
","18.187 km
",MANUAL,R$ 57.290,disponivel
VOLKSWAGEN,T-CROSS 200 TSI AT 1.0 4P,"2022/2022
","45.430 km
",AUTOMÁTICO,R$ 103.990,disponivel
VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
","68.410 km
",MANUAL,R$ 57.490,disponivel
VOLKSWAGEN,GOL MPI 1.0 4P,"2022/2023
","47.916 km
",MANUAL,R$ 59.290,disponivel
FIAT,ARGO FLEX 1.0 4P,"2022/2022
","65.625 km
",AUTOMÁTICO,R$ 61.900,disponivel
CHEVROLET,ONIX PLUS TURBO LTZ MT 1.0 4P,"2022/2023
","30.035 km
",MANUAL,R$ 87.390,disponivel
VOLKSWAGEN,GOL MPI MT 1.6 4P,"2021/2022
","57.374 km
",MANUAL,R$ 60.890,disponivel
FIAT,MOBI LIKE 1.0 4P,"2022/2023
","13.411 km
",MANUAL,R$ 59.790,disponivel
FIAT,MOBI LIKE 1.0 4P,"2022/2023
","15.611 km
",MANUAL,R$ 60.290,disponivel
FIAT,MOBI LIKE 1.0 4P,"2022/2023
","55.178 km
",MANUAL,R$ 55.790,disponivel
