data,marca,modelo,ano,km,preco
03/03/2024,FIAT,CRONOS DRIVE 1.3,"2022/2022
 ","46.225 km
 ",R$ 76.990
03/03/2024,FIAT,PULSE AUDACE 1.0,"2023/2023
 ","17.838 km
 ",R$ 105.490
03/03/2024,CHERY,TIGGO 8 TXS 7L 1.6,"2021/2022
 ","49.598 km
 ",R$ 139.990
03/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","48.817 km
 ",R$ 52.490
03/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","46.209 km
 ",R$ 52.490
03/03/2024,CITROEN,C3 FEEL 1.0,"2022/2023
 ","40.102 km
 ",R$ 72.690
03/03/2024,HYUNDAI,HB20 COMFORT 1.0,"2022/2023
 ","41.686 km
 ",R$ 65.990
03/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","56.190 km
 ",R$ 58.990
03/03/2024,VOLKSWAGEN,VOYAGE 1.0,"2022/2023
 ","49.913 km
 ",R$ 58.990
03/03/2024,PEUGEOT,208 HATCH ACTIVE 1.6,"2022/2022
 ","45.127 km
 ",R$ 74.390
03/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","49.048 km
 ",R$ 61.490
03/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","67.369 km
 ",R$ 52.490
03/03/2024,HYUNDAI,HB20 SENSE 1.0,"2022/2023
 ","52.974 km
 ",R$ 62.990
03/03/2024,VOLKSWAGEN,GOL 1.6,"2021/2022
 ","22.243 km
 ",R$ 64.490
03/03/2024,FIAT,ARGO DRIVE 1.0,"2022/2023
 ","52.296 km
 ",R$ 65.990
03/03/2024,FIAT,ARGO 1.0,"2022/2023
 ","34.714 km
 ",R$ 65.190
03/03/2024,FIAT,MOBI LIKE 1.0,"2022/2023
 ","52.762 km
 ",R$ 52.490
03/03/2024,FIAT,MOBI LIKE 1.0 4P,"2022/2023
 ","60.925 km
 ",R$ 54.290
03/03/2024,TOYOTA,COROLLA ALTIS HYBRID AT 1.8 4P,"2021/2022
 ","25.918 km
 ",R$ 155.190
